Registry,Assignment,Organization Name,Organization Address
MA-L,2C5A05,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,B0358D,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,3C363D,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,D0DB32,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,A4E731,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,143605,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,04A82A,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,782EEF,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,D45D42,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,FCE557,Nokia Corporation,Elektroniikkatie 10 Oulu Ou FI 90590 
MA-L,D82A7E,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,303855,Nokia Corporation,Elektroniikkatie 10 Oulu Ou FI 90590 
MA-L,D4CBAF,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,D87533,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,547975,Nokia Corporation,Joensuunkatu 7E Salo  FI 24101 
MA-L,2CCC15,Nokia Corporation,Joensuunkatu 7 Salo Varsinais-Suomi FI 24101 
MA-L,00BD3A,Nokia Corporation,Joensuunkatu 7 Salo Varsinais-Suomi FI 24101 
MA-L,A04E04,Nokia Corporation,Joensuunkatu 7 Salo Varsinais-Suomi FI 24101 
