Registry,Assignment,Organization Name,Organization Address
MA-L,C4438F,LG Electronics,"603-39 , Kasan-dong, Gumcheon-gu Seoul  KR 153-801 "
MA-L,C49A02,LG Electronics (Mobile Communicaitons),"60-39, Kasan-dong, Kumchon-gu Seoul Seoul KR 153-801 "
MA-L,C808E9,LG Electronics,"222 LG-ro, JINWI-MYEON Pyeongtaek-si Gyeonggi-do KR 451-713 "
MA-L,CC2D8C,LG Electronics Inc,"19-1,Cheongho-Ri,Jinwi-Myeon Pyeongtaek Gyeonggi-Do KR 451-713 "
MA-L,CCFA00,LG Electronics,"60-39, Gasan-dong, Geumcheon-gu Seoul  KR 153-801 "
MA-L,E85B5B,LG ELECTRONICS INC,"19-1, CHEONGHO-RI, JINWI-MYEON PYEONGTAEK GYEONGGI-DO KR 451-713 "
MA-L,E892A4,LG Electronics,"603-39 , Kasan-dong, Gumcheon-gu Seoul  KR 153-801 "
MA-L,F01C13,LG Electronics,"603-39 , Kasan-dong, Gumcheon-gu Seoul  KR 153-801 "
MA-L,F80CF3,LG Electronics,"603-39 , Kasan-dong, Gumcheon-gu Seoul  KR 153-801 "
MA-L,F895C7,LG Electronics (Mobile Communications),"60-39, Gasan-dong, Geumcheon-gu Seoul  KR  "
MA-L,F8A9D0,LG Electronics,"60-39, Gasan-dong, Geumcheon-gu Seoul  KR 153-801 "
