Registry,Assignment,Organization Name,Organization Address
MA-L,F0D2F1,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
MA-L,74C246,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
MA-L,F0272D,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
MA-L,0C47C9,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
MA-L,A002DC,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
MA-L,747548,Amazon Technologies Inc.,P.O Box 8102 Reno NV US  
MA-L,44650D,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
MA-L,50F5DA,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
MA-L,84D6D0,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
